leak,commit
1,"Grant access to SkaleManager
"
2,"Rename secrets
"
3,"Update access control
"
4,"Update access control
"
5,"SKALE-4964 Fix SafeMock access issue
"
6,"SKALE-4964 Fix SafeMock access issue
"
7,"SKALE-4695 Remove web3 from skale token tests
"
8,"Merge pull request #647 from skalenetwork/enhancement/SKALE-2510-adopt-private-keys
"
9,"Enhancement/skale 2510 adopt private keys
"
10,"Merge branch 'enhancement/SKALE-2510-adopt-private-keys' of https://github.com/skalenetwork/skale-manager into enhancement/SKALE-2510-adopt-private-keys
"
11,"Rename environment private keys
"
12,"Fix SkaleToken verification
"
13,"Fix SkaleToken verification
"
14,"SKALE-3318 Fix problem with access granting during upgrade
"
15,"SKALE-3318 Fix access issue
"
16,"SKALE-3318 Fix manifest update for TokenLaunchLocker
"
17,"SKALE-3318 Fix manifest update for TokenLaunchManager
"
18,"SKALE-3318 Remove TokenLaunchLocker and TokenLaunchManager
"
19,"SKALE-3318 Grant access to ContractManager and Nodes
"
20,"SKALE-3513 Fix verification of SkaleToken
"
21,"SKALE-3844 Fix SkaleToken tests
"
22,"SKALE-3844 Fix TokenState tests
"
23,"SKALE-3793 Duplicate delegation controller in token state
"
24,"SKALE-3783 Add optimization of token transfers
"
25,"SKALE-2958 Fix docker credentials
"
26,"SKALE-2958 Add keys check
"
27,"Merge pull request #445 from skalenetwork/enhancement/SKALE-3504-hash-key
"
28,"Merge branch 'develop' into enhancement/SKALE-3504-hash-key
"
29,"SKALE-3273 Fix access issues during tests
"
30,"SKALE-3273 Fix access issues during tests
"
31,"SKALE-3273 Fix access error in BountyV2
"
32,"Modify KeyStorage and remove ECDH from contracts
"
33,"SKALE-3319 Minor changes in naming, remove LOCAL_PRIVATE_KEY and LOCAL_ENDPOINT
"
34,"SKALE-3220 Add private methods for setting Node status
"
35,"Add elliptic to test for publi keys
"
36,"Add public key to address function
"
37,"SKALE-3212 Mint tokens on bounty payments
"
38,"Merge pull request #367 from skalenetwork/enhancement/Remove-node-bls-public-keys
"
39,"Enhancement/remove node bls public keys
"
40,"Remove computation od node bls public key
"
41,"Fix TokenState
"
42,"Fix typo in keyStorage.ts
"
43,"Add information about skale-token
"
44,"Fix naming in TokenLaunchManager
"
45,"Fix naming in TokenLaunchManager
"
46,"Merge pull request #296 from skalenetwork/bugfix/DKG-BLS-public-key-and-node-rotation
"
47,"Bugfix/SKALE 2847 dkg bls public key and node rotation
"
48,"Merge branch 'develop' into bugfix/DKG-BLS-public-key-and-node-rotation
"
49,"SKALE-2847 fix calculate public key
"
50,"SKALE-2834 Fix test of admin access
"
51,"init fix for BLS public key
"
52,"Merge pull request #284 from skalenetwork/enhancement/SKALE-2811-review-access-control
"
53,"Enhancement/skale 2811 review access control
"
54,"Merge branch 'develop' into enhancement/SKALE-2811-review-access-control
"
55,"SKALE-2811 review access control and follow code style
"
56,"SKALE-2811 started review access control
"
57,"Merge pull request #277 from skalenetwork/feature/SKALE-2812-admin-key
"
58,"Merge branch 'develop' into feature/SKALE-2812-admin-key
"
59,"Merge pull request #272 from skalenetwork/bug/SKALE-2810-bls-public-keys
"
60,"SKALE-2810 compute public keys
"
61,"Merge branch 'develop' into bug/SKALE-2810-bls-public-keys
"
62,"Merge branch 'develop' into bug/SKALE-2810-bls-public-keys
"
63,"Fixed failing tests added SKALE-2737 test added getBLSPublicKey test
"
64,"Added KeyStorage contract
"
65,"Merge branch 'develop' into bug/SKALE-2810-bls-public-keys
"
66,"SKALE-2810 compute public keys
"
67,"SKALE-2764 SKALE-2774 Add completeTokenLaunch function
"
68,"SKALE-2063 Change modifiers in contracts from internal to private
"
69,"SKALE-2063 Make addNode private
"
70,"SKALE-2063 Make setNodeLeaving and setNodeLeft private
"
71,"SKALE-2694 SKALE-2709 Use AccessControl instead of Ownable
"
72,"SKALE-2694 SKALE-2709 Allow the foundation to create schains without tokens
"
73,"SKALE-2625 Rename secretKeyContribution argument
"
74,"SKALE-2364 Uncomment functions verifySignature, getPreviousGroupsPublicKey
"
75,"Add documentation to TokenState
"
76,"SKALE-2625 Change node public key format
"
77,"SKALE-2625 Add KeyShare structure
"
78,"SKALE-2364 changed access modifiers from external to public
"
79,"SKALE-2481 Start private and internal names with a single underscore
"
80,"SKALE-2477 Change token to avoid delegating of burned tokens
"
81,"SKALE-2477 Add reentrancy guard to SkaleToken
"
